"Дата","Price","Откр.","Макс.","Мин.","Объём","Изм. %"
"31 дек. 2021 г.","336,32","338,51","339,36","335,85","18,00M","-0,88%"
"30 дек. 2021 г.","339,32","341,91","343,13","338,82","15,99M","-0,77%"
"29 дек. 2021 г.","341,95","341,30","344,30","339,68","15,04M","0,21%"
"28 дек. 2021 г.","341,25","343,15","343,81","340,32","15,66M","-0,35%"
"27 дек. 2021 г.","342,45","335,46","342,48","335,43","19,95M","2,32%"
"23 дек. 2021 г.","334,69","332,75","336,39","332,73","19,62M","0,45%"
"22 дек. 2021 г.","333,20","328,30","333,61","325,75","24,83M","1,81%"
"21 дек. 2021 г.","327,29","323,29","327,73","319,80","24,74M","2,31%"
"20 дек. 2021 г.","319,91","320,05","322,80","317,57","28,33M","-1,20%"
"17 дек. 2021 г.","323,80","320,88","324,92","317,25","47,98M","-0,34%"
"16 дек. 2021 г.","324,90","335,71","336,76","323,02","35,03M","-2,91%"
"15 дек. 2021 г.","334,65","328,61","335,19","324,50","35,38M","1,92%"
"14 дек. 2021 г.","328,34","333,22","334,64","324,11","44,44M","-3,26%"
"13 дек. 2021 г.","339,40","340,68","343,79","339,08","28,90M","-0,92%"
"10 дек. 2021 г.","342,54","334,98","343,00","334,79","38,10M","2,83%"
"09 дек. 2021 г.","333,10","334,41","336,49","332,12","22,21M","-0,56%"
"08 дек. 2021 г.","334,97","335,31","335,50","330,80","24,76M","0,01%"
"07 дек. 2021 г.","334,92","331,64","335,80","330,10","31,02M","2,68%"
"06 дек. 2021 г.","326,19","323,95","327,45","319,23","30,03M","0,98%"
"03 дек. 2021 г.","323,01","331,99","332,70","318,03","41,78M","-1,97%"
"02 дек. 2021 г.","329,49","330,30","333,49","327,80","30,77M","-0,18%"
"01 дек. 2021 г.","330,08","335,13","339,28","329,39","33,40M","-0,15%"
"30 нояб. 2021 г.","330,59","335,32","337,78","328,99","42,89M","-1,79%"
"29 нояб. 2021 г.","336,63","334,94","339,03","334,74","28,56M","2,11%"
"26 нояб. 2021 г.","329,68","334,35","337,93","328,12","24,22M","-2,44%"
"24 нояб. 2021 г.","337,91","336,28","338,16","333,91","21,66M","0,07%"
"23 нояб. 2021 г.","337,68","337,05","339,45","333,56","30,43M","-0,63%"
"22 нояб. 2021 г.","339,83","344,62","349,67","339,55","31,03M","-0,96%"
"19 нояб. 2021 г.","343,11","342,64","345,10","342,20","21,96M","0,54%"
"18 нояб. 2021 г.","341,27","338,18","342,45","337,12","22,46M","0,63%"
"17 нояб. 2021 г.","339,12","338,94","342,19","338,00","19,05M","-0,11%"
"16 нояб. 2021 г.","339,51","335,68","340,67","335,51","20,89M","1,02%"
"15 нояб. 2021 г.","336,07","337,54","337,88","334,03","16,72M","-0,19%"
"12 нояб. 2021 г.","336,72","333,92","337,23","333,79","23,83M","1,29%"
"11 нояб. 2021 г.","332,43","331,25","333,77","330,51","16,85M","0,49%"
"10 нояб. 2021 г.","330,80","334,57","334,63","329,92","25,50M","-1,53%"
"09 нояб. 2021 г.","335,95","337,11","338,72","334,53","21,31M","-0,31%"
"08 нояб. 2021 г.","336,99","337,30","337,65","334,44","20,90M","0,28%"
"05 нояб. 2021 г.","336,06","338,51","338,79","334,42","22,57M","-0,11%"
"04 нояб. 2021 г.","336,44","332,89","336,54","329,51","23,99M","0,73%"
"03 нояб. 2021 г.","334,00","333,90","334,90","330,65","21,50M","0,26%"
"02 нояб. 2021 г.","333,13","330,31","333,45","330,00","26,49M","1,14%"
"01 нояб. 2021 г.","329,37","331,36","331,49","326,37","27,07M","-0,68%"
"29 окт. 2021 г.","331,62","324,13","332,00","323,90","34,77M","2,24%"
"28 окт. 2021 г.","324,35","324,33","324,87","321,36","26,30M","0,37%"
"27 окт. 2021 г.","323,17","316,00","326,10","316,00","52,59M","4,21%"
"26 окт. 2021 г.","310,11","311,00","312,39","308,60","28,11M","0,64%"
"25 окт. 2021 г.","308,13","309,36","309,40","306,46","17,55M","-0,33%"
"22 окт. 2021 г.","309,16","310,40","311,09","307,80","17,45M","-0,51%"
"21 окт. 2021 г.","310,76","307,17","311,02","306,36","16,92M","1,09%"
"20 окт. 2021 г.","307,41","309,21","309,70","306,11","16,54M","-0,27%"
"19 окт. 2021 г.","308,23","308,35","309,30","307,22","17,68M","0,31%"
"18 окт. 2021 г.","307,29","303,57","308,21","302,69","22,73M","1,01%"
"15 окт. 2021 г.","304,21","302,34","304,45","300,52","25,38M","0,48%"
"14 окт. 2021 г.","302,75","299,21","303,27","297,83","27,26M","2,17%"
"13 окт. 2021 г.","296,31","294,91","297,28","293,49","23,42M","1,17%"
"12 окт. 2021 г.","292,88","295,34","295,44","292,35","17,97M","-0,46%"
"11 окт. 2021 г.","294,23","292,92","297,97","292,74","19,30M","-0,21%"
"08 окт. 2021 г.","294,85","296,22","296,64","293,76","17,69M","0,00%"
"07 окт. 2021 г.","294,85","295,17","296,64","293,92","20,43M","0,59%"
"06 окт. 2021 г.","293,11","285,78","293,63","285,51","28,00M","1,51%"
"05 окт. 2021 г.","288,76","284,05","290,40","284,05","24,99M","2,00%"
"04 окт. 2021 г.","283,11","287,40","287,75","280,25","31,35M","-2,07%"
"01 окт. 2021 г.","289,10","282,12","289,98","281,29","30,09M","2,55%"
"30 сент. 2021 г.","281,92","285,71","287,83","281,62","32,34M","-0,73%"
"29 сент. 2021 г.","284,00","285,10","286,77","283,01","26,35M","0,17%"
"28 сент. 2021 г.","283,52","289,80","290,78","282,75","43,19M","-3,62%"
"27 сент. 2021 г.","294,17","296,14","296,47","292,94","23,57M","-1,73%"
"24 сент. 2021 г.","299,35","298,23","299,80","296,93","15,00M","-0,07%"
"23 сент. 2021 г.","299,56","298,85","300,90","297,53","18,60M","0,33%"
"22 сент. 2021 г.","298,58","296,73","300,22","294,51","26,63M","1,28%"
"21 сент. 2021 г.","294,80","295,69","297,54","294,07","22,36M","0,17%"
"20 сент. 2021 г.","294,30","296,33","298,72","289,52","38,28M","-1,86%"
"17 сент. 2021 г.","299,87","304,17","304,50","299,53","41,37M","-1,75%"
"16 сент. 2021 г.","305,22","303,76","305,31","300,76","19,55M","0,13%"
"15 сент. 2021 г.","304,82","303,26","305,32","301,82","28,36M","1,68%"
"14 сент. 2021 г.","299,79","299,56","301,39","298,10","21,85M","0,94%"
"13 сент. 2021 г.","296,99","297,55","298,54","294,08","23,65M","0,43%"
"10 сент. 2021 г.","295,71","298,42","299,92","295,38","19,63M","-0,52%"
"09 сент. 2021 г.","297,25","300,82","302,14","297,00","19,93M","-0,99%"
"08 сент. 2021 г.","300,21","299,78","300,61","297,47","15,05M","0,01%"
"07 сент. 2021 г.","300,18","301,01","301,09","298,20","17,18M","-0,32%"
"03 сент. 2021 г.","301,14","300,99","302,60","300,26","14,75M","0,00%"
"02 сент. 2021 г.","301,15","302,20","303,36","300,18","16,29M","-0,23%"
"01 сент. 2021 г.","301,83","302,86","305,19","301,49","18,98M","-0,02%"
"31 авг. 2021 г.","301,88","304,42","304,50","301,50","26,29M","-0,56%"
"30 авг. 2021 г.","303,59","301,11","304,22","301,06","16,35M","1,29%"
"27 авг. 2021 г.","299,72","298,99","300,87","296,83","22,61M","0,21%"
"26 авг. 2021 г.","299,09","300,99","302,43","298,95","17,67M","-0,97%"
"25 авг. 2021 г.","302,01","304,30","304,59","300,42","20,01M","-0,20%"
"24 авг. 2021 г.","302,62","305,02","305,65","302,00","18,18M","-0,67%"
"23 авг. 2021 г.","304,65","303,24","305,40","301,85","22,83M","0,10%"
"20 авг. 2021 г.","304,36","299,72","305,84","298,06","40,82M","2,56%"
"19 авг. 2021 г.","296,77","288,69","297,47","288,64","29,85M","2,08%"
"18 авг. 2021 г.","290,73","292,04","294,82","290,27","21,81M","-0,80%"
"17 авг. 2021 г.","293,08","292,39","293,43","291,08","20,08M","-0,52%"
"16 авг. 2021 г.","294,60","293,19","294,82","290,02","22,52M","0,60%"
"13 авг. 2021 г.","292,85","289,48","292,90","289,30","18,25M","1,05%"
"12 авг. 2021 г.","289,81","286,63","289,97","286,34","14,57M","1,00%"
"11 авг. 2021 г.","286,95","287,21","288,66","285,86","13,96M","0,18%"
"10 авг. 2021 г.","286,44","288,80","289,25","285,20","18,62M","-0,66%"
"09 авг. 2021 г.","288,33","289,75","291,55","287,81","16,12M","-0,39%"
"06 авг. 2021 г.","289,46","288,51","289,50","287,62","16,59M","-0,02%"
"05 авг. 2021 г.","289,52","286,88","289,63","286,10","13,90M","1,05%"
"04 авг. 2021 г.","286,51","286,22","287,59","284,65","16,19M","-0,21%"
"03 авг. 2021 г.","287,12","285,42","287,23","284,00","17,88M","0,81%"
"02 авг. 2021 г.","284,82","286,36","286,77","283,74","16,27M","-0,03%"
"30 июл. 2021 г.","284,91","285,17","286,66","283,91","20,94M","-0,55%"
"29 июл. 2021 г.","286,50","286,23","288,62","286,08","18,17M","0,10%"
"28 июл. 2021 г.","286,22","288,99","290,15","283,83","33,57M","-0,11%"
"27 июл. 2021 г.","286,54","289,43","289,58","282,95","33,60M","-0,87%"
"26 июл. 2021 г.","289,05","289,00","289,69","286,64","23,18M","-0,21%"
"23 июл. 2021 г.","289,67","287,37","289,99","286,50","22,77M","1,23%"
"22 июл. 2021 г.","286,14","283,84","286,42","283,42","23,38M","1,68%"
"21 июл. 2021 г.","281,40","278,90","281,52","277,29","24,36M","0,74%"
"20 июл. 2021 г.","279,32","278,03","280,97","276,26","26,26M","0,83%"
"19 июл. 2021 г.","277,01","278,93","280,37","274,45","32,94M","-1,33%"
"16 июл. 2021 г.","280,75","282,07","284,10","279,46","26,19M","-0,10%"
"15 июл. 2021 г.","281,03","282,00","282,51","279,83","22,60M","-0,52%"
"14 июл. 2021 г.","282,51","282,35","283,66","280,55","23,11M","0,54%"
"13 июл. 2021 г.","280,98","277,52","282,85","277,39","26,12M","1,32%"
"12 июл. 2021 г.","277,32","279,16","279,77","276,58","18,93M","-0,22%"
"09 июл. 2021 г.","277,94","275,72","278,05","275,32","23,92M","0,19%"
"08 июл. 2021 г.","277,42","276,90","278,73","274,87","24,62M","-0,90%"
"07 июл. 2021 г.","279,93","279,40","280,69","277,15","23,26M","0,82%"
"06 июл. 2021 г.","277,66","278,03","279,37","274,30","31,57M","0,00%"
"02 июл. 2021 г.","277,65","272,82","278,00","272,50","26,47M","2,23%"
"01 июл. 2021 г.","271,60","269,61","271,84","269,60","16,73M","0,26%"
"30 июн. 2021 г.","270,90","270,69","271,36","269,60","21,66M","-0,18%"
"29 июн. 2021 г.","271,40","268,86","271,65","267,98","19,94M","1,00%"
"28 июн. 2021 г.","268,72","266,18","268,90","265,91","19,59M","1,40%"
"25 июн. 2021 г.","265,02","266,23","267,25","264,76","25,61M","-0,63%"
"24 июн. 2021 г.","266,69","266,16","267,85","265,47","21,45M","0,53%"
"23 июн. 2021 г.","265,27","265,99","266,83","264,43","19,52M","-0,09%"
"22 июн. 2021 г.","265,51","262,72","265,79","262,40","24,69M","1,10%"
"21 июн. 2021 г.","262,63","259,82","263,52","257,92","26,70M","1,23%"
"18 июн. 2021 г.","259,43","259,63","262,30","258,75","37,20M","-0,56%"
"17 июн. 2021 г.","260,90","256,07","261,75","256,01","27,57M","1,37%"
"16 июн. 2021 г.","257,38","259,40","260,58","254,42","27,22M","-0,38%"
"15 июн. 2021 г.","258,36","259,77","259,99","257,68","18,04M","-0,59%"
"14 июн. 2021 г.","259,89","257,90","259,95","256,80","19,15M","0,78%"
"11 июн. 2021 г.","257,89","257,98","258,49","256,61","19,00M","0,25%"
"10 июн. 2021 г.","257,24","254,29","257,46","253,67","24,56M","1,44%"
"09 июн. 2021 г.","253,59","253,81","255,53","253,21","17,94M","0,40%"
"08 июн. 2021 г.","252,57","255,16","256,01","252,51","22,45M","-0,49%"
"07 июн. 2021 г.","253,81","249,98","254,09","249,81","23,08M","1,20%"
"04 июн. 2021 г.","250,79","247,76","251,65","247,51","25,28M","2,07%"
"03 июн. 2021 г.","245,71","245,22","246,34","243,00","25,31M","-0,64%"
"02 июн. 2021 г.","247,30","248,13","249,27","245,84","19,41M","-0,04%"
"01 июн. 2021 г.","247,40","251,23","251,29","246,96","23,21M","-0,91%"
"28 мая 2021 г.","249,68","250,99","252,08","249,56","18,27M","0,15%"
"27 мая 2021 г.","249,31","251,17","251,48","249,25","24,43M","-0,87%"
"26 мая 2021 г.","251,49","251,43","252,94","250,75","17,77M","-0,09%"
"25 мая 2021 г.","251,72","251,77","252,75","250,82","17,70M","0,37%"
"24 мая 2021 г.","250,78","247,79","251,16","247,51","21,41M","2,29%"
"21 мая 2021 г.","245,17","247,57","248,33","244,74","21,86M","-0,53%"
"20 мая 2021 г.","246,48","243,96","247,95","243,86","21,80M","1,38%"
"19 мая 2021 г.","243,12","239,31","243,23","238,60","25,74M","0,02%"
"18 мая 2021 г.","243,08","246,27","246,41","242,90","20,17M","-0,86%"
"17 мая 2021 г.","245,18","246,55","246,59","243,52","24,97M","-1,20%"
"14 мая 2021 г.","248,15","245,57","249,18","245,49","23,90M","2,11%"
"13 мая 2021 г.","243,03","241,80","245,60","241,42","29,62M","1,69%"
"12 мая 2021 г.","239,00","242,16","244,38","238,07","36,68M","-2,94%"
"11 мая 2021 г.","246,23","244,55","246,60","242,57","33,64M","-0,38%"
"10 мая 2021 г.","247,18","250,87","251,73","247,12","29,30M","-2,09%"
"07 мая 2021 г.","252,46","252,15","254,30","251,17","27,03M","1,09%"
"06 мая 2021 г.","249,73","246,45","249,86","244,69","26,49M","1,32%"
"05 мая 2021 г.","246,47","249,06","249,50","245,82","21,90M","-0,53%"
"04 мая 2021 г.","247,79","250,97","251,21","245,76","32,76M","-1,62%"
"03 мая 2021 г.","251,86","253,40","254,35","251,12","19,63M","-0,13%"
"30 апр. 2021 г.","252,18","249,74","253,08","249,60","30,95M","-0,13%"
"29 апр. 2021 г.","252,51","255,46","256,10","249,00","40,59M","-0,81%"
"28 апр. 2021 г.","254,56","256,08","256,54","252,95","46,90M","-2,83%"
"27 апр. 2021 г.","261,97","261,58","263,19","260,12","31,01M","0,16%"
"26 апр. 2021 г.","261,55","261,66","262,43","260,17","19,76M","0,15%"
"23 апр. 2021 г.","261,15","257,88","261,51","257,27","21,50M","1,55%"
"22 апр. 2021 г.","257,17","260,21","261,78","255,64","25,61M","-1,31%"
"21 апр. 2021 г.","260,58","258,94","260,68","257,25","24,03M","0,90%"
"20 апр. 2021 г.","258,26","257,82","260,20","256,84","19,72M","-0,19%"
"19 апр. 2021 г.","258,74","260,19","261,48","257,82","23,21M","-0,77%"
"16 апр. 2021 г.","260,74","259,47","261,00","257,60","24,88M","0,48%"
"15 апр. 2021 г.","259,50","257,93","259,93","257,73","25,63M","1,53%"
"14 апр. 2021 г.","255,59","257,48","258,83","255,16","23,07M","-1,12%"
"13 апр. 2021 г.","258,49","257,26","259,19","256,83","23,84M","1,01%"
"12 апр. 2021 г.","255,91","254,71","257,67","254,62","27,15M","0,02%"
"09 апр. 2021 г.","255,85","252,87","255,99","252,44","24,33M","1,03%"
"08 апр. 2021 г.","253,25","252,77","254,14","252,00","23,63M","1,34%"
"07 апр. 2021 г.","249,90","247,81","250,93","247,19","22,72M","0,82%"
"06 апр. 2021 г.","247,86","247,61","249,40","246,88","22,93M","-0,49%"
"05 апр. 2021 г.","249,07","242,76","249,96","242,70","36,91M","2,77%"
"01 апр. 2021 г.","242,35","238,47","242,84","238,05","30,34M","2,79%"
"31 мар. 2021 г.","235,77","232,91","239,10","232,39","43,62M","1,69%"
"30 мар. 2021 г.","231,85","233,52","233,85","231,10","24,79M","-1,44%"
"29 мар. 2021 г.","235,24","236,59","236,80","231,88","25,23M","-0,52%"
"26 мар. 2021 г.","236,48","231,55","236,71","231,55","25,48M","1,78%"
"25 мар. 2021 г.","232,34","235,30","236,94","231,57","34,06M","-1,33%"
"24 мар. 2021 г.","235,46","237,85","238,00","235,32","25,62M","-0,89%"
"23 мар. 2021 г.","237,58","237,49","241,05","237,07","31,64M","0,67%"
"22 мар. 2021 г.","235,99","230,27","236,90","230,14","30,13M","2,45%"
"19 мар. 2021 г.","230,35","231,02","232,47","229,35","46,43M","-0,16%"
"18 мар. 2021 г.","230,72","232,56","234,19","230,33","34,85M","-2,67%"
"17 мар. 2021 г.","237,04","236,15","238,55","233,23","29,56M","-0,28%"
"16 мар. 2021 г.","237,71","236,28","240,05","235,94","28,09M","1,24%"
"15 мар. 2021 г.","234,81","234,96","235,18","231,81","26,04M","-0,40%"
"12 мар. 2021 г.","235,75","234,01","235,82","233,23","22,65M","-0,58%"
"11 мар. 2021 г.","237,13","234,96","239,17","234,31","29,91M","2,03%"
"10 мар. 2021 г.","232,42","237,00","237,00","232,04","29,75M","-0,58%"
"09 мар. 2021 г.","233,78","232,88","235,38","231,67","33,08M","2,81%"
"08 мар. 2021 г.","227,39","231,37","233,37","227,13","35,27M","-1,82%"
"05 мар. 2021 г.","231,60","229,52","233,27","226,46","41,87M","2,15%"
"04 мар. 2021 г.","226,73","226,74","232,49","224,26","44,73M","-0,36%"
"03 мар. 2021 г.","227,56","232,15","233,58","227,26","34,03M","-2,70%"
"02 мар. 2021 г.","233,87","237,01","237,30","233,45","22,81M","-1,30%"
"01 мар. 2021 г.","236,94","235,90","237,47","233,15","25,33M","1,96%"
"26 февр. 2021 г.","232,38","231,52","235,37","229,54","37,82M","1,48%"
"25 февр. 2021 г.","228,99","232,08","234,59","227,88","39,54M","-2,37%"
"24 февр. 2021 г.","234,55","230,01","235,20","229,00","26,34M","0,55%"
"23 февр. 2021 г.","233,27","230,32","234,83","228,73","30,23M","-0,53%"
"22 февр. 2021 г.","234,51","237,42","237,93","232,40","36,45M","-2,68%"
"19 февр. 2021 г.","240,97","243,75","243,86","240,18","25,26M","-1,16%"
"18 февр. 2021 г.","243,79","241,80","243,93","240,86","16,93M","-0,17%"
"17 февр. 2021 г.","244,20","241,32","244,31","240,94","21,67M","0,21%"
"16 февр. 2021 г.","243,70","245,03","246,13","242,92","26,73M","-0,53%"
"12 февр. 2021 г.","244,99","243,93","245,30","242,73","16,56M","0,20%"
"11 февр. 2021 г.","244,49","244,78","245,15","242,15","15,75M","0,69%"
"10 февр. 2021 г.","242,82","245,00","245,92","240,89","22,19M","-0,39%"
"09 февр. 2021 г.","243,77","241,87","244,76","241,38","23,56M","0,54%"
"08 февр. 2021 г.","242,47","243,15","243,68","240,81","22,21M","0,11%"
"05 февр. 2021 г.","242,20","242,23","243,28","240,42","18,05M","0,08%"
"04 февр. 2021 г.","242,01","242,66","243,24","240,37","25,30M","-0,41%"
"03 февр. 2021 г.","243,00","239,57","245,09","239,26","27,16M","1,46%"
"02 февр. 2021 г.","239,51","241,30","242,31","238,69","25,92M","-0,06%"
"01 февр. 2021 г.","239,65","235,06","242,50","232,43","33,31M","3,32%"
"29 янв. 2021 г.","231,96","235,99","238,02","231,35","42,50M","-2,92%"
"28 янв. 2021 г.","238,93","235,61","242,64","235,09","49,11M","2,59%"
"27 янв. 2021 г.","232,90","238,00","240,44","230,14","69,87M","0,25%"
"26 янв. 2021 г.","232,33","231,86","234,18","230,08","49,17M","1,22%"
"25 янв. 2021 г.","229,53","229,12","229,78","224,22","33,15M","1,58%"
"22 янв. 2021 г.","225,95","227,08","230,07","225,80","30,17M","0,44%"
"21 янв. 2021 г.","224,97","224,70","226,30","222,42","30,75M","0,28%"
"20 янв. 2021 г.","224,34","217,70","225,79","217,29","37,78M","3,65%"
"19 янв. 2021 г.","216,44","213,75","216,98","212,63","30,48M","1,78%"
"15 янв. 2021 г.","212,65","213,52","214,51","212,03","31,75M","-0,17%"
"14 янв. 2021 г.","213,02","215,91","217,46","212,74","29,35M","-1,53%"
"13 янв. 2021 г.","216,34","214,02","216,76","213,93","20,09M","0,66%"
"12 янв. 2021 г.","214,93","216,50","217,10","213,32","23,25M","-1,18%"
"11 янв. 2021 г.","217,49","218,47","218,91","216,73","23,05M","-0,97%"
"08 янв. 2021 г.","219,62","218,68","220,58","217,03","22,96M","0,61%"
"07 янв. 2021 г.","218,29","214,04","219,34","213,71","27,69M","2,85%"
"06 янв. 2021 г.","212,25","212,17","216,49","211,94","35,93M","-2,59%"
"05 янв. 2021 г.","217,90","217,26","218,52","215,70","23,82M","0,10%"
"04 янв. 2021 г.","217,69","222,53","223,00","214,81","37,13M","-2,13%"